all|all
hirano|hirano bodies
agyrophilic|agyrophilic inclusion bodies
pick|pick inclusion bodies
lafora|lafora bodies
cerebral|cerebral hyaline bodies
cerebral|cerebral colloid bodies
rosenthal|rosenthal fibres
abnormality|abnormality of the dentate nucleus
aplasia|aplasia of the pyramidal tract
juvenile|juvenile aseptic necrosis
scleroderma|scleroderma
progressive|progressive systemic scleroderma
pseudoscleroderma|pseudoscleroderma
immunologic|immunologic hypersensitivity
cow|cow milk allergy
carpometacarpal|carpometacarpal synostosis
tarsometatarsal|tarsometatarsal synostosis
synostosis|synostosis of tarsal bones
unilateral|unilateral cleft lip
unilateral|unilateral cleft lip/palate
unilateral|unilateral cleft palate
non-midline|non-midline cleft lip
non-midline|non-midline cleft of the upper lip
bilateral|bilateral cleft lip
bilateral|bilateral cleft palate
non-midline|non-midline cleft palate
abnormality|abnormality of the os naviculare pedis
fibular|fibular deviation of the 4th toe
tibial|tibial deviation of the 4th toe
fibular|fibular deviation of the 3rd toe
tibial|tibial deviation of the 3rd toe
fibular|fibular deviation of the 2nd toe
tibial|tibial deviation of the 2nd toe
fibular|fibular deviation of the 5th toe
tibial|tibial deviation of the 5th toe
contractures|contractures of the proximal interphalangeal joint of the 2nd toe
contractures|contractures of the proximal interphalangeal joint of the 3rd toe
contractures|contractures of the proximal interphalangeal joint of the 4th toe
contractures|contractures of the proximal interphalangeal joint of the 5th toe
contractures|contractures of the distal interphalangeal joint of the 2nd toe
contractures|contractures of the distal interphalangeal joint of the 3rd toe
contractures|contractures of the distal interphalangeal joint of the 4th toe
contractures|contractures of the distal interphalangeal joint of the 5th toe
contractures|contractures of the metatarsophalangeal joint of the 2nd toe
contractures|contractures of the metatarsophalangeal joint of the 3rd toe
contractures|contractures of the metatarsophalangeal joint of the 4th toe
contractures|contractures of the metatarsophalangeal joint of the 5th toe
contractures|contractures of the joints of the upper limbs
aplasia|aplasia of the phalanges of the 3rd toe
aplasia|aplasia of the phalanges of the 4th toe
aplasia|aplasia of the phalanges of the 5th toe
short|short phalanx of the 3rd toe
hypoplastic/small|hypoplastic/small phalanges of the 3rd toe
short|short phalanx of the third toe
short|short phalanx of the 4th toe
hypoplastic/small|hypoplastic/small phalanges of the 4th toe
short|short phalanx of the fourth toe
short|short phalanx of the 5th toe
hypoplastic/small|hypoplastic/small phalanges of the 5th toe
short|short phalanx of the fifth toe
aplasia/hypoplasia|aplasia/hypoplasia of the distal phalanx of the 3rd toe
aplasia/hypoplasia|aplasia/hypoplasia of the distal phalanx of the 4th toe
aplasia/hypoplasia|aplasia/hypoplasia of the distal phalanx of the 5th toe
aplasia/hypoplasia|aplasia/hypoplasia of the middle phalanx of the 3rd toe
aplasia/hypoplasia|aplasia/hypoplasia of the middle phalanx of the 4th toe
aplasia/hypoplasia|aplasia/hypoplasia of the middle phalanx of the 5th toe
aplasia/hypoplasia|aplasia/hypoplasia of the proximal phalanx of the 3rd toe
aplasia/hypoplasia|aplasia/hypoplasia of the proximal phalanx of the 4th toe
aplasia/hypoplasia|aplasia/hypoplasia of the proximal phalanx of the 5th toe
absent|absent distal phalanx of the 3rd toe
absent|absent distal phalanx of the third toe
aplasia|aplasia of the distal phalanx of the 3rd toe
aplasia|aplasia of the distal phalanx of the 4th toe
aplasia|aplasia of the distal phalanx of the 5th toe
absent|absent middle phalanx of the 3rd toe
absent|absent middle phalanx of the third toe
aplasia|aplasia of the middle phalanx of the 3rd toe
aplasia|aplasia of the middle phalanx of the 4th toe
aplasia|aplasia of the middle phalanx of the 5th toe
absent|absent proximal phalanx of the 3rd toe
aplasia|aplasia of the proximal phalanx of the 3rd toe
aplasia|aplasia of the proximal phalanx of the 4th toe
aplasia|aplasia of the proximal phalanx of the 5th toe
aplasia|aplasia of the middle phalanges of the toes
aplasia|aplasia of the proximal phalanges of the toes
short|short distal phalanx of the 3rd toe
hypoplastic/small|hypoplastic/small distal phalanx of the 3rd toe
short|short distal phalanx of the third toe
short|short distal phalanx of the 4th toe
hypoplastic/small|hypoplastic/small distal phalanx of the 4th toe
short|short distal phalanx of the fourth toe
short|short distal phalanx of the 5th toe
hypoplastic/small|hypoplastic/small distal phalanx of the 5th toe
short|short distal phalanx of the fifth toe
short|short middle phalanx of the 3rd toe
hypoplastic/small|hypoplastic/small middle phalanx of the 3rd toe
short|short middle phalanx of the third toe
short|short middle phalanx of the 4th toe
hypoplastic/small|hypoplastic/small middle phalanx of the 4th toe
short|short middle phalanx of the fourth toe
short|short middle phalanx of the 5th toe
hypoplastic/small|hypoplastic/small middle phalanx of the 5th toe
short|short middle phalanx of the fifth toe
short|short proximal phalanx of the 3rd toe
hypoplastic/small|hypoplastic/small proximal phalanx of the 3rd toe
short|short proximal phalanx of the third toe
short|short proximal phalanx of the 4th toe
hypoplastic/small|hypoplastic/small proximal phalanx of the 4th toe
short|short fourth toe proximal phalanx
short|short proximal phalanx of the fourth toe
short|short proximal phalanx of the 5th toe
hypoplastic/small|hypoplastic/small proximal phalanx of the 5th toe
short|short proximal phalanx of the fifth toe
duplication|duplication of the distal phalanx of the 3rd toe
duplication|duplication of the distal phalanx of the third toe
partial/complete|partial/complete duplication of the distal phalanx of the 3rd toe
duplication|duplication of the distal phalanx of the 4th toe
duplication|duplication of the distal phalanx of the fourth toe
partial/complete|partial/complete duplication of the distal phalanx of the 4th toe
duplication|duplication of the distal phalanx of the 5th toe
duplication|duplication of the distal phalanx of the fifth toe
partial/complete|partial/complete duplication of the distal phalanx of the 5th toe
duplication|duplication of the middle phalanx of the 3rd toe
duplication|duplication of the middle phalanx of the third toe
partial/complete|partial/complete duplication of the middle phalanx of the 3rd toe
duplication|duplication of the middle phalanx of the 4th toe
duplication|duplication of the middle phalanx of the fourth toe
partial/complete|partial/complete duplication of the middle phalanx of the 4th toe
duplication|duplication of the middle phalanx of the 5th toe
duplication|duplication of the middle phalanx of the fifth toe
partial/complete|partial/complete duplication of the middle phalanx of the 5th toe
duplication|duplication of the proximal phalanx of the 3rd toe
duplication|duplication of the proximal phalanx of the third toe
partial/complete|partial/complete duplication of the proximal phalanx of the 3rd toe
duplication|duplication of the proximal phalanx of the 4th toe
duplication|duplication of the proximal phalanx of the fourth toe
partial/complete|partial/complete duplication of the proximal phalanx of the 4th toe
duplication|duplication of the proximal phalanx of the 5th toe
duplication|duplication of the proximal phalanx of the fifth toe
partial/complete|partial/complete duplication of the proximal phalanx of the 5th toe
complete|complete duplication of the distal phalanx of the 3rd toe
complete|complete duplication of the distal phalanx of the third toe
complete|complete duplication of the distal phalanx of the 4th toe
complete|complete duplication of the distal phalanx of the fourth toe
complete|complete duplication of the distal phalanx of the 5th toe
complete|complete duplication of the distal phalanx of the fifth toe
complete|complete duplication of the middle phalanx of the 3rd toe
complete|complete duplication of the middle phalanx of the third toe
complete|complete duplication of the middle phalanx of the 4th toe
complete|complete duplication of the middle phalanx of the fourth toe
complete|complete duplication of the middle phalanx of the 5th toe
complete|complete duplication of the middle phalanx of the fifth toe
complete|complete duplication of the proximal phalanx of the 3rd toe
complete|complete duplication of the proximal phalanx of the 4th toe
complete|complete duplication of the proximal phalanx of the 5th toe
complete|complete duplication of the proximal phalanx of the fifth toe
partial|partial duplication of the distal phalanx of the 3rd toe
partial|partial duplication of the distal phalanx of the third toe
partial|partial duplication of the distal phalanx of the 4th toe
partial|partial duplication of the distal phalanx of the fourth toe
partial|partial duplication of the distal phalanx of the 5th toe
partial|partial duplication of the distal phalanx of the fifth toe
partial|partial duplication of the middle phalanx of the 3rd toe
partial|partial duplication of the middle phalanx of the third toe
partial|partial duplication of the middle phalanx of the 4th toe
partial|partial duplication of the middle phalanx of the fourth toe
partial|partial duplication of the middle phalanx of the 5th toe
partial|partial duplication of the middle phalanx of the fifth toe
partial|partial duplication of the proximal phalanx of the 3rd toe
partial|partial duplication of the proximal phalanx of the third toe
partial|partial duplication of the proximal phalanx of the 4th toe
partial|partial duplication of the proximal phalanx of the 5th toe
partial|partial duplication of the proximal phalanx of the fifth toe
broad|broad middle phalanx of the 3rd toe
broad|broad middle phalanx of the 4th toe
broad|broad middle phalanx of the 5th toe
broad|broad proximal phalanx of the 3rd toe
broad|broad proximal phalanx of the 4th toe
broad|broad proximal phalanx of the 5th toe
broad|broad distal phalanx of the 3rd toe
broad|broad distal phalanx of the 4th toe
broad|broad distal phalanx of the 5th toe
bullet-shaped|bullet-shaped middle phalanx of the 3rd toe
bullet-shaped|bullet-shaped middle phalanx of the 4th toe
bullet-shaped|bullet-shaped middle phalanx of the 5th toe
bullet-shaped|bullet-shaped proximal phalanx of the 3rd toe
bullet-shaped|bullet-shaped proximal phalanx of the 4th toe
bullet-shaped|bullet-shaped proximal phalanx of the 5th toe
bullet-shaped|bullet-shaped distal phalanx of the 3rd toe
bullet-shaped|bullet-shaped distal phalanx of the 4th toe
bullet-shaped|bullet-shaped distal phalanx of the 5th toe
curved|curved middle phalanx of the 3rd toe
curved|curved middle phalanx of the 4th toe
curved|curved middle phalanx of the 5th toe
curved|curved proximal phalanx of the 3rd toe
curved|curved proximal phalanx of the 4th toe
curved|curved proximal phalanx of the 5th toe
curved|curved distal phalanx of the 3rd toe
curved|curved distal phalanx of the 4th toe
curved|curved distal phalanx of the 5th toe
osteolytic|osteolytic defects of the middle phalanx of the 3rd toe
osteolytic|osteolytic defects of the middle phalanx of the 4th toe
osteolytic|osteolytic defects of the middle phalanx of the 5th toe
osteolytic|osteolytic defects of the proximal phalanx of the 3rd toe
osteolytic|osteolytic defects of the proximal phalanx of the 4th toe
osteolytic|osteolytic defects of the proximal phalanx of the 5th toe
osteolytic|osteolytic defects of the distal phalanx of the 3rd toe
osteolytic|osteolytic defects of the distal phalanx of the 4th toe
osteolytic|osteolytic defects of the distal phalanx of the 5th toe
patchy|patchy sclerosis of the middle phalanx of the 3rd toe
patchy|patchy sclerosis of the middle phalanx of the 4th toe
patchy|patchy sclerosis of the middle phalanx of the 5th toe
patchy|patchy sclerosis of the proximal phalanx of the 3rd toe
patchy|patchy sclerosis of the proximal phalanx of the 4th toe
patchy|patchy sclerosis of the proximal phalanx of the 5th toe
patchy|patchy sclerosis of the distal phalanx of the 3rd toe
patchy|patchy sclerosis of the distal phalanx of the 4th toe
patchy|patchy sclerosis of the distal phalanx of the 5th toe
symphalangism|symphalangism affecting the middle phalanx of the 3rd toe
symphalangism|symphalangism affecting the middle phalanx of the 4th toe
symphalangism|symphalangism affecting the middle phalanx of the 5th toe
symphalangism|symphalangism affecting the proximal phalanx of the 3rd toe
symphalangism|symphalangism affecting the proximal phalanx of the 4th toe
symphalangism|symphalangism affecting the proximal phalanx of the 5th toe
symphalangism|symphalangism affecting the distal phalanx of the 3rd toe
symphalangism|symphalangism affecting the distal phalanx of the 4th toe
symphalangism|symphalangism affecting the distal phalanx of the 5th toe
proximal/middle|proximal/middle symphalangism of 3rd toe
symphalangism|symphalangism of the middle and proximal phalanges of the 3rd toe
proximal/middle|proximal/middle symphalangism of 4th toe
symphalangism|symphalangism of the middle and proximal phalanges of the 4th toe
proximal/middle|proximal/middle symphalangism of 5th toe
symphalangism|symphalangism of the middle and proximal phalanges of the 5th toe
symphalangism|symphalangism of the proximal phalanx of the 2nd toe with the 2nd metatarsal
symphalangism|symphalangism of the proximal phalanx of the 3rd toe with the 3rd metatarsal
symphalangism|symphalangism of the proximal phalanx of the 4th toe with the 4th metatarsal
symphalangism|symphalangism of the proximal phalanx of the 5th toe with the 5th metatarsal
